frame.number,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len
1,0.000000000,192.168.2.20,192.168.2.20,37432,1935,80
2,0.000043000,192.168.2.20,192.168.2.20,1935,37432,80
3,0.000082000,192.168.2.20,192.168.2.20,37432,1935,72
4,0.000175000,192.168.2.20,192.168.2.20,37432,1935,1609
5,0.000206000,192.168.2.20,192.168.2.20,1935,37432,72
6,0.001139000,192.168.2.20,192.168.2.20,1935,37432,1609
7,0.001174000,192.168.2.20,192.168.2.20,37432,1935,72
8,0.001231000,192.168.2.20,192.168.2.20,1935,37432,1608
9,0.001260000,192.168.2.20,192.168.2.20,37432,1935,72
10,0.001310000,192.168.2.20,192.168.2.20,37432,1935,1608
11,0.041879000,192.168.2.20,192.168.2.20,1935,37432,72
12,0.041913000,192.168.2.20,192.168.2.20,37432,1935,227
13,0.041944000,192.168.2.20,192.168.2.20,1935,37432,72
14,0.042007000,192.168.2.20,192.168.2.20,1935,37432,88
15,0.082867000,192.168.2.20,192.168.2.20,37432,1935,72
16,0.082899000,192.168.2.20,192.168.2.20,1935,37432,307
17,0.082932000,192.168.2.20,192.168.2.20,37432,1935,72
18,0.082998000,192.168.2.20,192.168.2.20,37432,1935,84
19,0.124286000,192.168.2.20,192.168.2.20,1935,37432,72
20,0.124383000,192.168.2.20,192.168.2.20,37432,1935,191
21,0.124465000,192.168.2.20,192.168.2.20,1935,37432,72
22,0.124737000,192.168.2.20,192.168.2.20,1935,37432,113
23,0.124902000,192.168.2.20,192.168.2.20,37432,1935,84
24,0.165990000,192.168.2.20,192.168.2.20,1935,37432,72
25,0.166076000,192.168.2.20,192.168.2.20,37432,1935,108
26,0.166159000,192.168.2.20,192.168.2.20,1935,37432,72
27,0.166334000,192.168.2.20,192.168.2.20,1935,37432,189
28,0.206991000,192.168.2.20,192.168.2.20,37432,1935,72
29,0.236795000,192.168.2.20,192.168.2.20,37432,1935,84
30,0.276972000,192.168.2.20,192.168.2.20,1935,37432,72
31,0.277025000,192.168.2.20,192.168.2.20,37432,1935,644
32,0.277058000,192.168.2.20,192.168.2.20,1935,37432,72
33,0.974923000,192.168.3.20,192.168.3.99,56806,1935,80
34,1.077372000,192.168.2.99,192.168.2.20,56806,1935,80
35,1.077434000,192.168.2.20,192.168.2.99,1935,56806,80
36,1.378831000,192.168.3.99,192.168.3.20,1935,56806,80
37,1.379079000,192.168.3.20,192.168.3.99,56806,1935,72
38,1.379303000,192.168.3.20,192.168.3.99,56806,1935,1520
39,1.379355000,192.168.3.20,192.168.3.99,56806,1935,161
40,1.481690000,192.168.2.99,192.168.2.20,56806,1935,1520
41,1.481908000,192.168.2.20,192.168.2.99,1935,56806,72
42,1.482798000,192.168.2.99,192.168.2.20,56806,1935,161
43,1.482831000,192.168.2.20,192.168.2.99,1935,56806,72
