"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.2.20","192.168.2.20","TCP","80","39862  >  1935 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=637856084 TSecr=0 WS=128"
"2","0.000017","192.168.2.20","192.168.2.20","TCP","80","1935  >  39862 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=637856084 TSecr=637856084 WS=128"
"3","0.000032","192.168.2.20","192.168.2.20","TCP","72","39862  >  1935 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=637856084 TSecr=637856084"
"4","0.000104","192.168.2.20","192.168.2.20","RTMP","1609","Handshake C0+C1"
"5","0.000121","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=1 Ack=1538 Win=77440 Len=0 TSval=637856084 TSecr=637856084"
"6","0.000995","192.168.2.20","192.168.2.20","TCP","1609","1935  >  39862 [PSH, ACK] Seq=1 Ack=1538 Win=77440 Len=1537 TSval=637856085 TSecr=637856084"
"7","0.001004","192.168.2.20","192.168.2.20","TCP","72","39862  >  1935 [ACK] Seq=1538 Ack=1538 Win=78976 Len=0 TSval=637856085 TSecr=637856085"
"8","0.001036","192.168.2.20","192.168.2.20","RTMP","1608","Handshake S0+S1+S2"
"9","0.001047","192.168.2.20","192.168.2.20","TCP","72","39862  >  1935 [ACK] Seq=1538 Ack=3074 Win=78976 Len=0 TSval=637856085 TSecr=637856085"
"10","0.001070","192.168.2.20","192.168.2.20","RTMP","1608","Handshake C2"
"11","0.041485","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3074 Ack=3074 Win=78976 Len=0 TSval=637856126 TSecr=637856085"
"12","0.041503","192.168.2.20","192.168.2.20","RTMP","227","connect()"
"13","0.041518","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3074 Ack=3229 Win=79744 Len=0 TSval=637856126 TSecr=637856126"
"14","0.041579","192.168.2.20","192.168.2.20","RTMP","88","Window Acknowledgement Size 5000000"
"15","0.082471","192.168.2.20","192.168.2.20","TCP","72","39862  >  1935 [ACK] Seq=3229 Ack=3090 Win=78976 Len=0 TSval=637856167 TSecr=637856126"
"16","0.082483","192.168.2.20","192.168.2.20","RTMP","307","Set Peer Bandwidth 5000000,Dynamic|Set Chunk Size 4096|_result()"
"17","0.082495","192.168.2.20","192.168.2.20","TCP","72","39862  >  1935 [ACK] Seq=3229 Ack=3325 Win=79744 Len=0 TSval=637856167 TSecr=637856167"
"18","0.082541","192.168.2.20","192.168.2.20","TCP","84","39862  >  1935 [PSH, ACK] Seq=3229 Ack=3325 Win=79744 Len=12 TSval=637856167 TSecr=637856167"
"19","0.123551","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3325 Ack=3241 Win=79744 Len=0 TSval=637856208 TSecr=637856167"
"20","0.123586","192.168.2.20","192.168.2.20","RTMP","191","Set Chunk Size 4096|releaseStream()|FCPublish()|createStream()"
"21","0.123613","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3325 Ack=3360 Win=79744 Len=0 TSval=637856208 TSecr=637856208"
"22","0.123771","192.168.2.20","192.168.2.20","RTMP","113","_result()"
"23","0.123882","192.168.2.20","192.168.2.20","TCP","84","39862  >  1935 [PSH, ACK] Seq=3360 Ack=3366 Win=79744 Len=12 TSval=637856208 TSecr=637856208"
"24","0.164727","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3366 Ack=3372 Win=79744 Len=0 TSval=637856249 TSecr=637856208"
"25","0.164758","192.168.2.20","192.168.2.20","RTMP","108","publish()"
"26","0.164791","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3366 Ack=3408 Win=79744 Len=0 TSval=637856249 TSecr=637856249"
"27","0.164921","192.168.2.20","192.168.2.20","RTMP","189","onStatus()"
"28","0.205717","192.168.2.20","192.168.2.20","TCP","72","39862  >  1935 [ACK] Seq=3408 Ack=3483 Win=79744 Len=0 TSval=637856290 TSecr=637856249"
