"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.2.20","192.168.2.99","UDP","1376","33618  >  4004 Len=1328"
"2","0.000045","192.168.2.20","192.168.2.99","UDP","1376","33618  >  4004 Len=1328"
"3","0.000084","192.168.2.20","192.168.2.99","UDP","1376","33618  >  4004 Len=1328"
"4","0.000124","192.168.2.20","192.168.2.99","UDP","1376","33618  >  4004 Len=1328"
"5","0.000753","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"6","0.002684","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"7","0.004486","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"8","0.006516","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"9","0.008380","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"10","0.010077","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"11","0.011891","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"12","0.013852","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"13","0.015641","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"14","0.017692","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"15","0.017736","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"16","0.017770","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"17","0.017832","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"18","0.017856","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"19","0.017874","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"20","0.017891","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"21","0.017908","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"22","0.017925","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"23","0.017923","192.168.3.99","192.168.3.20","UDP","1376","33618  >  4004 Len=1328"
"24","0.017942","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"25","0.017960","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"26","0.017977","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"27","0.017994","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"28","0.018012","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"29","0.018029","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"30","0.018045","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"31","0.018064","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"32","0.018082","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"33","0.018100","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"34","0.018118","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"35","0.018135","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
"36","0.018152","192.168.2.20","192.168.2.99","UDP","1376","33179  >  4004 Len=1328"
