"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.2.20","192.168.2.99","UDP","68","4004  >  36216 Len=20"
"2","0.001095","192.168.3.99","192.168.3.20","UDP","68","4004  >  36216 Len=20"
"3","0.001186","192.168.3.20","192.168.3.99","UDP","68","36216  >  4004 Len=20"
"4","0.002333","192.168.2.99","192.168.2.20","UDP","68","36216  >  4004 Len=20"
"5","0.023679","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"6","0.023719","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"7","0.023725","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"8","0.023730","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"9","0.023737","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"10","0.023743","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"11","0.023748","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"12","0.023753","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"13","0.023760","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"14","0.023765","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"15","0.023770","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"16","0.023776","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"17","0.023783","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"18","0.023790","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"19","0.023794","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"20","0.023799","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"21","0.023806","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"22","0.023812","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"23","0.023819","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"24","0.023826","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"25","0.023834","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"26","0.023839","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"27","0.023847","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"28","0.023852","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"29","0.023858","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"30","0.023865","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"31","0.023871","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"32","0.023877","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"33","0.023883","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"34","0.023891","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"35","0.023897","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"36","0.023904","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"37","0.023972","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"38","0.023980","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"39","0.023988","192.168.2.20","192.168.2.99","UDP","1380","4004  >  36216 Len=1332"
"40","0.023993","192.168.2.20","192.168.2.99","UDP","628","4004  >  36216 Len=580"
"41","0.024964","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
"42","0.025294","192.168.3.20","192.168.3.99","UDP","92","36216  >  4004 Len=44"
"43","0.026019","192.168.3.99","192.168.3.20","UDP","1380","4004  >  36216 Len=1332"
